,,from,to,distance
65286547,65347930,65286547,65347930,88.879304
65286547,65350389,65286547,65350389,121.754386
65286556,65286560,65286556,65286560,32.483511
65286556,5437054803,65286556,5437054803,8.824046
65286560,2252547625,65286560,2252547625,26.044966
65286560,5437054800,65286560,5437054800,37.066066
65286605,8418349543,65286605,8418349543,2.535168
65286610,1656766021,65286610,1656766021,145.943542
65286623,7221708809,65286623,7221708809,14.651029
65286633,65320949,65286633,65320949,67.42694
65286641,65286643,65286641,65286643,76.742692
65286641,65305602,65286641,65305602,171.856696
65286643,65297613,65286643,65297613,90.243536
65286673,65302629,65286673,65302629,41.235349
65286678,65297696,65286678,65297696,52.901745
65286688,65354867,65286688,65354867,90.944412
65286688,1721336432,65286688,1721336432,95.747842
65286776,65286791,65286776,65286791,79.308194
65286776,65347419,65286776,65347419,66.109473
65286791,65326154,65286791,65326154,48.32209
65286796,65308435,65286796,65308435,20.265105
65286864,6925558087,65286864,6925558087,10.799014
65286871,65309184,65286871,65309184,124.792559
65286871,3454073850,65286871,3454073850,23.002385
65286876,5040162082,65286876,5040162082,5.660779
65286876,5040162338,65286876,5040162338,3.192302
65286938,4025608081,65286938,4025608081,280.249855
65286949,65286955,65286949,65286955,96.464176
65286949,65303962,65286949,65303962,170.460595
65286955,65348220,65286955,65348220,156.489783
65286973,338898853,65286973,338898853,7.406701
65286991,1378125345,65286991,1378125345,10.681167
65286991,1378125524,65286991,1378125524,28.425494
65286997,65287017,65286997,65287017,51.698661
65286997,612724723,65286997,612724723,119.893058
65287017,3892342510,65287017,3892342510,127.12152
65287017,4073063877,65287017,4073063877,26.29603
65287033,1350167104,65287033,1350167104,135.53802
65287033,4089793013,65287033,4089793013,118.485394
65287047,65337329,65287047,65337329,24.08811
65287047,8069941436,65287047,8069941436,9.667635
65287063,4184888008,65287063,4184888008,13.787294
65287073,4184888066,65287073,4184888066,13.630735
65287076,65287073,65287076,65287073,8.017802
65287088,65287089,65287088,65287089,77.389465
65287088,65309929,65287088,65309929,68.920724
65287089,65287092,65287089,65287092,145.599
65287092,65333881,65287092,65333881,156.244052
65287092,65352552,65287092,65352552,95.753292
65287098,8436766479,65287098,8436766479,52.238353
65287098,8436766482,65287098,8436766482,48.678897
65287100,65286418,65287100,65286418,181.158209
